user_id,candidate,ground_truth
32,"[1516, 1002, 884, 1647, 208, 787, 524, 1331, 193, 1389, 1004, 1435, 1151, 107, 984, 1651, 687, 628, 950, 929]",628
33,"[57, 1347, 1561, 348, 782, 118, 931, 1657, 464, 26, 739, 317, 1018, 865, 769, 1464, 881, 1370, 553, 824]",348
34,"[634, 234, 827, 899, 840, 673, 1102, 956, 89, 1205, 156, 616, 227, 193, 1270, 300, 1316, 56, 798, 650]",899
35,"[1446, 482, 455, 708, 489, 1645, 752, 988, 773, 1232, 1543, 1557, 1392, 403, 1316, 1390, 395, 937, 741, 329]",937
36,"[1483, 1625, 648, 585, 515, 1191, 381, 759, 719, 363, 667, 1222, 1445, 388, 313, 261, 613, 22, 1041, 111]",261
37,"[700, 1424, 59, 1325, 1417, 1194, 1284, 1260, 1479, 172, 482, 186, 1091, 1283, 343, 741, 318, 949, 1280, 100]",172
38,"[204, 282, 1376, 471, 90, 1161, 107, 1174, 245, 1552, 229, 137, 1098, 1137, 1421, 702, 1317, 1497, 452, 323]",452
39,"[82, 296, 1530, 1065, 1334, 825, 974, 1055, 1114, 221, 618, 979, 288, 81, 1559, 1395, 1640, 151, 622, 984]",288
40,"[426, 1550, 569, 726, 973, 237, 83, 1635, 1181, 1083, 1643, 1016, 1328, 317, 236, 1178, 792, 754, 449, 897]",754
41,"[430, 944, 419, 1355, 1393, 246, 1313, 678, 520, 115, 1454, 519, 366, 826, 335, 229, 1342, 1612, 1094, 1474]",430
42,"[845, 1478, 298, 668, 1129, 1336, 1359, 1429, 224, 1486, 1060, 267, 1522, 312, 459, 1325, 1363, 223, 989, 171]",845
43,"[149, 107, 163, 810, 725, 590, 1509, 1343, 650, 164, 1238, 1596, 700, 87, 652, 1138, 316, 1556, 694, 893]",316
44,"[1243, 1046, 1528, 1092, 992, 273, 1405, 1500, 1254, 1309, 1362, 183, 330, 1171, 345, 1390, 1275, 335, 894, 713]",183
45,"[365, 10, 63, 835, 1036, 1311, 1169, 795, 1365, 406, 275, 362, 1145, 799, 465, 334, 1268, 820, 320, 1451]",820
46,"[1435, 1436, 1330, 235, 227, 65, 799, 610, 447, 953, 1284, 1168, 1239, 102, 1221, 1191, 125, 1141, 1503, 215]",125
47,"[461, 1185, 1527, 267, 870, 117, 1479, 1360, 1331, 1176, 327, 892, 365, 880, 833, 403, 234, 17, 1573, 151]",327
48,"[401, 1397, 1012, 475, 1236, 835, 1480, 224, 302, 1560, 264, 1454, 1137, 1647, 729, 589, 1044, 1521, 1288, 1003]",302
49,"[132, 243, 1640, 1163, 1203, 87, 1361, 1612, 518, 280, 155, 1033, 1150, 1593, 669, 1408, 783, 791, 633, 1138]",518
50,"[1424, 845, 602, 123, 1156, 903, 141, 1286, 189, 1086, 673, 1101, 311, 649, 678, 1670, 603, 1258, 1506, 904]",123
51,"[19, 364, 497, 1622, 1016, 389, 1649, 1542, 1525, 83, 1141, 1374, 894, 1506, 1040, 1371, 1587, 68, 617, 1610]",83
52,"[1395, 674, 1232, 191, 835, 468, 493, 276, 730, 1639, 763, 859, 1272, 1046, 1369, 1052, 1347, 69, 1116, 530]",191
53,"[1459, 691, 745, 1087, 1079, 115, 1028, 846, 1626, 1117, 732, 1486, 1478, 1564, 862, 523, 327, 687, 218, 536]",1087
54,"[103, 1197, 889, 1481, 1586, 1072, 1621, 309, 1210, 781, 633, 924, 1156, 298, 1504, 580, 1509, 1378, 1242, 134]",298
55,"[680, 1122, 158, 1124, 79, 1565, 1611, 1433, 533, 1336, 956, 1427, 1616, 520, 906, 1626, 789, 982, 1534, 309]",79
56,"[1273, 810, 1470, 1608, 1512, 1612, 1590, 1301, 1556, 1520, 128, 445, 689, 1475, 410, 1023, 982, 1129, 633, 305]",410
57,"[1260, 1303, 1171, 1606, 913, 199, 434, 366, 1306, 1088, 560, 1373, 1647, 1120, 191, 490, 55, 517, 1291, 1341]",199
58,"[341, 940, 321, 601, 53, 938, 961, 1643, 777, 191, 531, 1381, 201, 1303, 855, 825, 1134, 904, 224, 1140]",191
59,"[1646, 323, 1381, 1183, 1156, 811, 1563, 533, 26, 1613, 1004, 31, 1623, 1331, 255, 1592, 1313, 1541, 260, 908]",323
60,"[906, 787, 76, 956, 825, 761, 400, 1176, 300, 272, 452, 302, 1275, 1659, 177, 1087, 386, 619, 611, 711]",272
61,"[539, 1339, 692, 1556, 152, 1589, 811, 347, 429, 467, 1266, 512, 889, 1038, 1434, 93, 1107, 221, 1058, 578]",347
62,"[142, 1310, 453, 102, 656, 1015, 892, 437, 1384, 1130, 1034, 599, 454, 263, 1501, 970, 1637, 768, 1566, 894]",1130
63,"[502, 1099, 567, 1035, 1533, 535, 555, 300, 1174, 487, 565, 202, 1634, 429, 494, 785, 1559, 746, 1017, 1093]",300
64,"[1273, 561, 1411, 525, 1587, 113, 947, 536, 838, 1175, 1036, 587, 997, 1465, 1001, 382, 1259, 1196, 651, 859]",651
65,"[1297, 426, 319, 1088, 431, 929, 218, 1186, 420, 185, 1645, 256, 592, 1585, 554, 870, 316, 1038, 1669, 1471]",185
66,"[206, 1399, 42, 730, 305, 515, 1105, 464, 801, 103, 249, 420, 1483, 408, 1440, 1136, 615, 1202, 1655, 440]",249
67,"[1137, 1428, 379, 768, 1284, 975, 1486, 605, 386, 117, 249, 404, 1564, 410, 742, 463, 687, 94, 1356, 406]",117
68,"[1600, 1147, 178, 1476, 205, 1320, 1448, 415, 323, 313, 359, 1458, 577, 148, 746, 723, 257, 519, 915, 1504]",178
69,"[862, 1263, 1412, 956, 12, 1487, 110, 985, 1301, 1392, 1327, 325, 571, 403, 1405, 774, 1637, 210, 936, 407]",12
70,"[580, 370, 93, 1334, 333, 1000, 276, 963, 1138, 213, 723, 263, 408, 984, 799, 268, 1275, 354, 758, 1484]",408
71,"[1344, 674, 1545, 638, 308, 924, 587, 197, 490, 694, 1679, 152, 1113, 262, 468, 1309, 1070, 1487, 1142, 1065]",197
72,"[1019, 856, 730, 567, 140, 198, 343, 66, 919, 973, 1128, 874, 1203, 637, 758, 893, 907, 1325, 1627, 1129]",198
73,"[1594, 758, 333, 1540, 110, 1419, 1509, 1055, 360, 1194, 534, 1218, 723, 285, 1388, 215, 370, 1281, 1097, 308]",285
74,"[982, 1060, 1473, 865, 1375, 508, 528, 152, 1663, 517, 1560, 491, 123, 1450, 1031, 1109, 627, 384, 1135, 943]",508
75,"[772, 1037, 1582, 1348, 745, 57, 901, 1261, 1617, 1377, 228, 1381, 433, 1439, 1535, 196, 1595, 261, 1165, 89]",196
76,"[1294, 1601, 1223, 1303, 1030, 266, 681, 1333, 1229, 1525, 1469, 1379, 159, 141, 427, 1191, 1423, 955, 1514, 714]",955
77,"[606, 324, 781, 1201, 571, 780, 1604, 1661, 340, 901, 387, 52, 741, 287, 891, 331, 794, 713, 225, 819]",52
78,"[613, 639, 854, 244, 233, 664, 1474, 1360, 1573, 237, 1632, 4, 703, 1118, 1134, 988, 1148, 1423, 1478, 80]",237
79,"[163, 1121, 92, 390, 1275, 380, 1655, 688, 1323, 227, 695, 904, 1455, 128, 1356, 7, 4, 747, 1324, 320]",7
80,"[564, 237, 508, 1675, 27, 1071, 723, 52, 369, 1155, 952, 393, 281, 1226, 565, 620, 69, 308, 1121, 341]",237
81,"[960, 3, 567, 1209, 1565, 105, 1613, 901, 846, 41, 1553, 1351, 1579, 1369, 377, 1353, 1488, 1460, 1123, 1453]",3
82,"[258, 77, 1492, 252, 1147, 219, 771, 953, 297, 285, 17, 1661, 310, 761, 886, 1628, 987, 916, 1227, 394]",310
83,"[764, 1091, 102, 1613, 1287, 1157, 330, 183, 1522, 316, 709, 696, 873, 298, 399, 821, 1138, 1646, 792, 1291]",298
84,"[952, 1396, 385, 1327, 965, 479, 303, 1546, 1155, 888, 1440, 1189, 1367, 861, 1311, 1209, 1128, 792, 749, 1034]",385
85,"[349, 961, 633, 801, 614, 668, 1285, 1265, 1373, 505, 26, 1293, 81, 1106, 836, 182, 1475, 96, 766, 1411]",182
86,"[464, 1654, 630, 1584, 683, 841, 376, 1395, 452, 1139, 1482, 1319, 100, 1134, 253, 359, 1677, 39, 911, 1177]",683
87,"[377, 1189, 1251, 250, 611, 243, 301, 1449, 1379, 424, 1520, 832, 991, 1323, 316, 113, 1531, 676, 998, 1272]",1189
88,"[1182, 1288, 403, 1040, 1279, 1049, 419, 1118, 457, 1241, 1146, 683, 611, 326, 635, 701, 626, 1373, 574, 1587]",326
89,"[559, 1666, 379, 560, 1503, 837, 333, 549, 903, 916, 184, 628, 1208, 1574, 974, 1321, 1276, 1663, 572, 187]",187
90,"[1421, 1287, 822, 1352, 1627, 1468, 1384, 444, 385, 239, 675, 1327, 1271, 1266, 1671, 1038, 230, 1015, 778, 419]",385
91,"[489, 283, 936, 171, 725, 1098, 655, 1515, 521, 658, 1617, 230, 1455, 1592, 1529, 1678, 55, 664, 841, 278]",230
92,"[1030, 1119, 1165, 1228, 1039, 666, 1362, 61, 1404, 236, 1445, 539, 1588, 232, 480, 529, 634, 307, 1131, 1373]",307
93,"[1071, 1290, 344, 235, 394, 681, 1208, 519, 1442, 951, 1052, 221, 1440, 1188, 1388, 557, 105, 598, 938, 618]",235
94,"[19, 1496, 856, 1154, 910, 1646, 1437, 1132, 690, 1198, 517, 1181, 1526, 454, 1530, 1467, 1363, 416, 843, 907]",690
95,"[559, 1417, 1397, 1334, 1318, 1654, 1243, 751, 1360, 659, 1650, 1619, 1315, 445, 1063, 875, 1114, 1663, 1164, 1119]",445
96,"[752, 349, 862, 1503, 302, 991, 276, 959, 1573, 611, 1396, 956, 1452, 1232, 1051, 778, 1469, 1391, 1039, 1478]",1232
97,"[911, 1640, 1006, 434, 389, 1476, 1413, 14, 1366, 1493, 847, 1174, 367, 1437, 255, 24, 844, 1619, 1313, 448]",434
98,"[395, 1606, 934, 1423, 25, 827, 172, 350, 1268, 76, 1592, 1043, 1002, 1220, 77, 800, 41, 1414, 285, 811]",25
99,"[836, 959, 558, 142, 228, 637, 1670, 157, 33, 1124, 569, 962, 716, 51, 722, 32, 1344, 1241, 1494, 433]",433
100,"[971, 123, 1621, 429, 272, 1410, 1168, 1308, 160, 931, 47, 867, 869, 591, 602, 31, 640, 556, 517, 1202]",272
101,"[748, 866, 931, 1249, 41, 793, 1091, 863, 1008, 670, 14, 290, 1302, 848, 1481, 1321, 605, 1354, 1220, 526]",866
102,"[1639, 717, 1288, 682, 1081, 202, 648, 1674, 1291, 1032, 423, 1226, 480, 303, 1444, 830, 1200, 668, 1210, 1386]",202
103,"[810, 492, 96, 1087, 449, 1054, 690, 650, 244, 930, 852, 611, 883, 278, 333, 962, 517, 917, 1502, 1402]",96
104,"[1543, 1034, 1332, 482, 1498, 1239, 217, 709, 1132, 932, 1219, 50, 983, 107, 1597, 138, 1177, 48, 1548, 1315]",50
105,"[86, 639, 1347, 327, 1305, 1370, 241, 175, 646, 279, 378, 1064, 363, 1350, 537, 510, 1249, 445, 997, 314]",327
106,"[418, 411, 313, 1637, 445, 720, 1271, 596, 636, 85, 1666, 797, 292, 886, 378, 1665, 1196, 1297, 834, 1389]",313
107,"[841, 658, 1467, 371, 312, 483, 861, 1406, 813, 488, 1090, 808, 1638, 320, 234, 1604, 1670, 534, 1544, 237]",312
108,"[1257, 1285, 1310, 1045, 881, 185, 1511, 366, 295, 1070, 215, 160, 1421, 1474, 290, 1604, 656, 1513, 1396, 992]",290
109,"[1420, 497, 907, 1237, 1280, 1080, 1157, 290, 366, 224, 1398, 629, 1402, 277, 536, 1457, 1661, 374, 1251, 656]",1157
110,"[134, 94, 605, 1279, 99, 1181, 264, 1529, 1052, 362, 1572, 497, 728, 158, 1330, 37, 1043, 719, 1147, 1605]",94
111,"[1421, 370, 904, 1340, 774, 1309, 111, 1431, 1111, 1095, 1632, 1199, 1009, 1448, 852, 1292, 799, 286, 1655, 424]",286
112,"[363, 1344, 293, 804, 1028, 314, 1665, 806, 139, 1200, 1340, 716, 205, 1141, 49, 221, 943, 1331, 1171, 339]",339
113,"[658, 975, 1031, 954, 1499, 499, 206, 615, 1273, 593, 525, 1359, 802, 817, 1052, 1385, 224, 105, 703, 334]",975
114,"[1093, 1666, 161, 7, 358, 1203, 69, 1598, 522, 1426, 467, 1499, 1031, 363, 1406, 366, 1128, 33, 777, 577]",522
115,"[1279, 1304, 753, 178, 977, 1343, 929, 934, 385, 1527, 1092, 1560, 1281, 126, 925, 195, 171, 1061, 1476, 402]",178
116,"[898, 819, 1441, 1591, 1604, 1433, 1275, 1680, 184, 1398, 1197, 1438, 769, 344, 395, 1319, 616, 1274, 547, 1284]",344
117,"[1420, 295, 674, 1675, 279, 55, 1554, 1150, 775, 1019, 298, 785, 37, 189, 1510, 765, 1432, 1427, 1006, 1349]",298
118,"[1362, 238, 343, 108, 1059, 1079, 1032, 715, 158, 1676, 1395, 15, 1023, 1667, 1675, 1445, 1277, 731, 149, 910]",1079
119,"[1069, 1250, 290, 1117, 1574, 425, 133, 777, 623, 126, 1638, 1347, 1190, 1519, 1458, 917, 150, 161, 1104, 261]",917
120,"[209, 1003, 1516, 816, 306, 162, 405, 804, 1289, 193, 545, 1421, 1442, 1020, 1447, 1146, 1362, 873, 1221, 1414]",405
121,"[375, 1222, 1470, 745, 167, 501, 1158, 759, 213, 875, 1570, 1151, 111, 410, 155, 1640, 143, 717, 1322, 895]",717
122,"[440, 1333, 1535, 491, 192, 1019, 1528, 275, 753, 1044, 543, 41, 247, 1244, 1666, 94, 185, 170, 366, 967]",1044
123,"[431, 244, 1672, 592, 256, 391, 276, 560, 1536, 796, 585, 1231, 702, 1384, 365, 71, 1176, 495, 1667, 160]",276
124,"[1535, 1483, 1116, 941, 163, 1570, 195, 1599, 457, 669, 1043, 896, 901, 525, 414, 234, 253, 569, 1212, 845]",195
125,"[948, 158, 985, 649, 263, 1232, 1253, 992, 1519, 889, 77, 767, 1594, 1280, 15, 1523, 1584, 764, 979, 1360]",158
126,"[106, 781, 564, 555, 630, 881, 80, 499, 100, 255, 135, 139, 1475, 15, 591, 688, 146, 114, 1201, 824]",881
127,"[675, 1238, 254, 60, 619, 1608, 62, 269, 1432, 1448, 853, 1184, 1191, 348, 802, 1086, 1088, 1233, 1274, 1496]",62
128,"[773, 1421, 1310, 1611, 160, 88, 766, 1073, 122, 811, 584, 1396, 901, 1532, 509, 1364, 866, 899, 80, 1659]",88
129,"[900, 176, 378, 179, 877, 849, 986, 1215, 551, 1120, 1576, 423, 1324, 1505, 906, 1653, 14, 1472, 1289, 783]",906
130,"[1282, 180, 1508, 1650, 970, 1307, 445, 860, 1431, 1565, 788, 369, 759, 1140, 1296, 671, 225, 620, 1444, 669]",669
131,"[1146, 706, 963, 482, 1401, 1587, 1266, 247, 1269, 664, 391, 736, 1368, 1135, 788, 536, 433, 851, 1213, 1492]",536
132,"[991, 447, 492, 1429, 664, 207, 1433, 1050, 1491, 879, 1203, 500, 925, 938, 564, 72, 1358, 702, 38, 1585]",664
133,"[1149, 696, 1370, 1147, 1218, 1561, 765, 810, 603, 632, 542, 798, 1250, 316, 33, 1273, 333, 1169, 40, 1481]",316
134,"[272, 1359, 1204, 1, 545, 924, 1645, 1576, 1149, 205, 1267, 4, 320, 1215, 248, 165, 1495, 639, 1120, 1234]",1
135,"[1607, 445, 1406, 547, 979, 1041, 92, 1623, 268, 850, 596, 590, 237, 1056, 1281, 1139, 1393, 1475, 77, 896]",77
136,"[1587, 536, 44, 83, 602, 1232, 451, 1561, 625, 651, 1636, 705, 525, 48, 261, 796, 1392, 787, 856, 556]",525
137,"[1410, 261, 1407, 746, 1167, 272, 1053, 514, 365, 1131, 1338, 717, 224, 784, 1409, 783, 1066, 1068, 1157, 1327]",261
138,"[144, 213, 934, 602, 909, 463, 887, 568, 1127, 1270, 1606, 47, 732, 1422, 262, 1055, 197, 1215, 387, 156]",602
139,"[945, 127, 1287, 1059, 680, 753, 1037, 580, 424, 726, 953, 1515, 1254, 1151, 1518, 1055, 367, 1631, 517, 1280]",127
140,"[866, 770, 384, 1580, 845, 314, 276, 825, 238, 409, 1586, 542, 1190, 838, 946, 880, 868, 1541, 1215, 670]",880
141,"[951, 453, 436, 856, 1318, 59, 545, 564, 787, 1426, 1541, 502, 694, 29, 425, 300, 1352, 1279, 957, 83]",300
142,"[507, 620, 697, 156, 1464, 611, 240, 42, 152, 1105, 222, 1336, 120, 1481, 687, 159, 1043, 1682, 1092, 1230]",42
143,"[1391, 1276, 958, 227, 1417, 134, 824, 253, 1466, 325, 1162, 1420, 112, 731, 1571, 40, 589, 37, 921, 1047]",325
144,"[1430, 2, 11, 656, 505, 629, 1291, 1374, 1234, 875, 1438, 1484, 453, 579, 1093, 480, 1647, 25, 115, 306]",480
145,"[867, 781, 1379, 1135, 649, 705, 1435, 714, 178, 691, 1604, 1586, 1445, 351, 819, 702, 289, 970, 330, 354]",354
146,"[501, 466, 70, 1606, 1006, 1070, 1136, 882, 1469, 127, 336, 1175, 1453, 1572, 752, 1548, 659, 323, 1129, 237]",336
147,"[637, 1379, 301, 1147, 883, 254, 1446, 1484, 533, 787, 1551, 727, 1106, 1412, 102, 1035, 720, 532, 587, 1371]",301
148,"[953, 1514, 15, 198, 192, 435, 1583, 979, 38, 458, 23, 487, 1099, 881, 706, 753, 1322, 993, 854, 885]",993
149,"[483, 1570, 643, 577, 1660, 1521, 1017, 964, 1166, 42, 977, 953, 1043, 340, 462, 1478, 1386, 807, 1039, 156]",340
150,"[228, 1430, 1214, 410, 891, 944, 1579, 787, 1487, 261, 756, 1251, 1062, 1642, 36, 1468, 1300, 896, 900, 1081]",410
151,"[581, 985, 339, 1353, 1023, 966, 1294, 1181, 708, 937, 585, 1660, 1188, 553, 636, 1414, 1407, 240, 391, 955]",966
152,"[327, 1055, 415, 1328, 178, 883, 932, 373, 13, 1042, 1093, 578, 841, 1392, 272, 564, 1431, 675, 861, 603]",272
153,"[1093, 1145, 685, 1602, 308, 804, 721, 507, 258, 439, 1410, 1374, 723, 1578, 984, 1104, 1679, 896, 749, 1592]",258
154,"[1176, 1681, 1363, 1625, 1656, 364, 564, 187, 375, 912, 1002, 212, 80, 1354, 1392, 1674, 1595, 435, 1229, 1588]",187
155,"[334, 592, 1643, 1599, 396, 1620, 1448, 1183, 1383, 1457, 1662, 760, 306, 394, 900, 1678, 1274, 71, 1611, 1006]",306
156,"[328, 127, 1600, 1018, 510, 787, 886, 1474, 868, 1556, 1195, 1073, 1232, 799, 144, 575, 1646, 1507, 1398, 10]",510
157,"[318, 1495, 394, 1245, 1282, 287, 1019, 1271, 1259, 675, 407, 1356, 75, 1642, 591, 812, 1431, 58, 613, 593]",407
158,"[766, 1243, 805, 1159, 692, 836, 536, 366, 605, 1517, 371, 290, 1579, 783, 1672, 91, 751, 1385, 998, 1310]",290
159,"[224, 259, 975, 749, 1657, 757, 314, 341, 1540, 1466, 1463, 1310, 1306, 621, 381, 929, 964, 71, 153, 1124]",259
160,"[302, 1193, 1237, 1427, 1124, 466, 486, 684, 619, 1518, 1084, 1311, 1642, 921, 272, 1077, 1220, 1510, 429, 833]",302
161,"[924, 951, 1025, 365, 569, 86, 1045, 464, 1200, 7, 305, 236, 321, 851, 1588, 719, 69, 84, 1094, 1540]",69
162,"[1223, 1039, 668, 342, 1502, 307, 351, 1580, 512, 450, 653, 710, 560, 730, 262, 1147, 911, 486, 856, 756]",710
163,"[635, 1250, 986, 404, 917, 1430, 1452, 1006, 169, 208, 491, 1358, 1036, 603, 263, 463, 1327, 98, 1450, 6]",98
164,"[1479, 383, 745, 1032, 1218, 934, 334, 808, 775, 850, 860, 1041, 476, 937, 1249, 1227, 552, 261, 1544, 95]",934
165,"[1261, 978, 123, 472, 898, 438, 1327, 690, 1159, 274, 1550, 631, 1547, 302, 432, 1172, 764, 13, 1075, 66]",432
166,"[702, 779, 399, 453, 592, 9, 1584, 1594, 681, 1599, 186, 894, 291, 907, 529, 1367, 158, 446, 1454, 1641]",894
167,"[752, 215, 1430, 1005, 31, 134, 803, 6, 1134, 574, 341, 103, 1521, 503, 530, 832, 1612, 720, 1320, 368]",530
168,"[356, 1216, 568, 1536, 901, 794, 1497, 710, 298, 394, 671, 514, 757, 225, 8, 582, 1284, 795, 1631, 872]",225
169,"[1278, 935, 430, 524, 1082, 1020, 374, 887, 1191, 443, 816, 191, 1063, 348, 1670, 1459, 1003, 185, 1026, 307]",443
170,"[919, 708, 574, 670, 1178, 1522, 1217, 841, 1164, 1066, 1528, 157, 802, 17, 71, 749, 1064, 1248, 691, 1238]",749
171,"[564, 929, 1606, 135, 563, 1521, 664, 898, 125, 272, 1322, 1580, 266, 283, 1362, 959, 469, 1548, 413, 1569]",272
172,"[1629, 446, 36, 582, 1634, 399, 512, 538, 624, 1654, 997, 288, 918, 1376, 376, 1393, 200, 1593, 860, 622]",582
173,"[1577, 556, 1171, 803, 618, 72, 276, 1291, 135, 1542, 364, 1395, 292, 464, 765, 176, 1135, 945, 474, 1050]",292
174,"[1441, 1586, 1382, 1212, 517, 1105, 478, 1377, 674, 611, 714, 523, 317, 110, 771, 1502, 85, 300, 238, 338]",238
175,"[88, 1217, 1127, 320, 1263, 580, 1124, 771, 1022, 1538, 1115, 1414, 1483, 672, 642, 916, 1157, 1210, 1146, 1257]",88
176,"[1450, 1310, 424, 1067, 82, 1571, 1069, 607, 208, 1647, 458, 1134, 134, 988, 112, 187, 909, 227, 942, 1159]",458
177,"[877, 763, 192, 1179, 1072, 113, 1481, 97, 964, 1013, 716, 605, 1307, 1658, 861, 1139, 92, 1514, 846, 349]",92
178,"[1233, 351, 892, 270, 1256, 1548, 1044, 932, 1238, 779, 780, 342, 609, 660, 840, 1549, 922, 256, 514, 1639]",342
179,"[1529, 592, 1269, 1203, 82, 1616, 318, 935, 534, 532, 341, 679, 1415, 1194, 1082, 452, 1236, 1222, 39, 301]",301
180,"[757, 31, 98, 696, 284, 1555, 178, 823, 1523, 673, 954, 346, 1648, 832, 1253, 895, 159, 124, 1651, 1194]",98
181,"[72, 361, 705, 602, 496, 505, 701, 47, 1292, 609, 1206, 504, 1434, 510, 1303, 643, 1518, 974, 632, 1604]",974
182,"[795, 1256, 1368, 744, 273, 1294, 801, 111, 1591, 1627, 591, 879, 647, 1545, 605, 390, 1514, 1238, 892, 843]",111
183,"[165, 1180, 1350, 422, 1146, 1346, 637, 780, 930, 1523, 738, 669, 1605, 718, 222, 1590, 440, 944, 819, 1379]",222
184,"[1520, 695, 1624, 1332, 339, 1662, 1088, 394, 19, 1452, 1585, 1298, 1498, 1327, 432, 488, 650, 1277, 374, 201]",488
185,"[1420, 702, 576, 1086, 621, 1458, 1580, 369, 1432, 1033, 1132, 828, 103, 781, 287, 125, 1536, 782, 1382, 166]",287
186,"[98, 228, 1221, 863, 759, 1422, 141, 388, 703, 728, 991, 1061, 432, 1643, 627, 399, 955, 1233, 785, 143]",98
187,"[1613, 468, 799, 750, 975, 187, 378, 1487, 958, 1176, 462, 1133, 1342, 742, 645, 547, 1045, 1480, 1558, 1624]",462
