item_id,metadata
206,"Title: Akira (1988) | Genres: Adventure|2, Animation|3, Sci-Fi|15, Thriller|16"
207,"Title: Cyrano de Bergerac (1990) | Genres: Action|1, Drama|8, Romance|14"
208,"Title: Young Frankenstein (1974) | Genres: Comedy|5, Horror|11"
209,"Title: This Is Spinal Tap (1984) | Genres: Comedy|5, Drama|8, Musical|12"
210,"Title: Indiana Jones and the Last Crusade (1989) | Genres: Action|1, Adventure|2"
211,"Title: M*A*S*H (1970) | Genres: Comedy|5, War|17"
212,"Title: Unbearable Lightness of Being, The (1988) | Genres: Drama|8"
213,"Title: Room with a View, A (1986) | Genres: Drama|8, Romance|14"
214,"Title: Pink Floyd - The Wall (1982) | Genres: Drama|8, Musical|12, War|17"
215,Title: Field of Dreams (1989) | Genres: Drama|8
216,"Title: When Harry Met Sally... (1989) | Genres: Comedy|5, Romance|14"
217,"Title: Bram Stoker's Dracula (1992) | Genres: Horror|11, Romance|14"
218,Title: Cape Fear (1991) | Genres: Thriller|16
219,"Title: Nightmare on Elm Street, A (1984) | Genres: Horror|11"
220,"Title: Mirror Has Two Faces, The (1996) | Genres: Comedy|5, Romance|14"
221,Title: Breaking the Waves (1996) | Genres: Drama|8
222,"Title: Star Trek: First Contact (1996) | Genres: Action|1, Adventure|2, Sci-Fi|15"
223,"Title: Sling Blade (1996) | Genres: Drama|8, Thriller|16"
224,Title: Ridicule (1996) | Genres: Drama|8
225,"Title: 101 Dalmatians (1996) | Genres: Children's|4, Comedy|5"
226,"Title: Die Hard 2 (1990) | Genres: Action|1, Thriller|16"
227,"Title: Star Trek VI: The Undiscovered Country (1991) | Genres: Action|1, Adventure|2, Sci-Fi|15"
228,"Title: Star Trek: The Wrath of Khan (1982) | Genres: Action|1, Adventure|2, Sci-Fi|15"
229,"Title: Star Trek III: The Search for Spock (1984) | Genres: Action|1, Adventure|2, Sci-Fi|15"
230,"Title: Star Trek IV: The Voyage Home (1986) | Genres: Action|1, Adventure|2, Sci-Fi|15"
231,"Title: Batman Returns (1992) | Genres: Action|1, Adventure|2, Comedy|5, Crime|6"
232,"Title: Young Guns (1988) | Genres: Action|1, Comedy|5, Western|18"
233,Title: Under Siege (1992) | Genres: Action|1
234,"Title: Jaws (1975) | Genres: Action|1, Horror|11"
235,"Title: Mars Attacks! (1996) | Genres: Action|1, Comedy|5, Sci-Fi|15, War|17"
236,"Title: Citizen Ruth (1996) | Genres: Comedy|5, Drama|8"
237,"Title: Jerry Maguire (1996) | Genres: Drama|8, Romance|14"
238,Title: Raising Arizona (1987) | Genres: Comedy|5
239,"Title: Sneakers (1992) | Genres: Crime|6, Drama|8, Sci-Fi|15"
240,"Title: Beavis and Butt-head Do America (1996) | Genres: Animation|3, Comedy|5"
241,"Title: Last of the Mohicans, The (1992) | Genres: Action|1, Romance|14, War|17"
242,Title: Kolya (1996) | Genres: Comedy|5
243,"Title: Jungle2Jungle (1997) | Genres: Children's|4, Comedy|5"
244,"Title: Smilla's Sense of Snow (1997) | Genres: Action|1, Drama|8, Thriller|16"
245,"Title: Devil's Own, The (1997) | Genres: Action|1, Drama|8, Thriller|16, War|17"
246,"Title: Chasing Amy (1997) | Genres: Drama|8, Romance|14"
247,"Title: Turbo: A Power Rangers Movie (1997) | Genres: Action|1, Adventure|2, Children's|4"
248,"Title: Grosse Pointe Blank (1997) | Genres: Comedy|5, Crime|6"
249,Title: Austin Powers: International Man of Mystery (1997) | Genres: Comedy|5
250,"Title: Fifth Element, The (1997) | Genres: Action|1, Sci-Fi|15"
251,Title: Shall We Dance? (1996) | Genres: Comedy|5
252,"Title: Lost World: Jurassic Park, The (1997) | Genres: Action|1, Adventure|2, Sci-Fi|15, Thriller|16"
253,"Title: Pillow Book, The (1995) | Genres: Drama|8, Romance|14"
254,"Title: Batman & Robin (1997) | Genres: Action|1, Adventure|2, Crime|6"
255,"Title: My Best Friend's Wedding (1997) | Genres: Comedy|5, Romance|14"
256,"Title: When the Cats Away (Chacun cherche son chat) (1996) | Genres: Comedy|5, Romance|14"
257,"Title: Men in Black (1997) | Genres: Action|1, Adventure|2, Comedy|5, Sci-Fi|15"
258,"Title: Contact (1997) | Genres: Drama|8, Sci-Fi|15"
259,"Title: George of the Jungle (1997) | Genres: Children's|4, Comedy|5"
260,"Title: Event Horizon (1997) | Genres: Action|1, Mystery|13, Sci-Fi|15, Thriller|16"
261,"Title: Air Bud (1997) | Genres: Children's|4, Comedy|5"
262,Title: In the Company of Men (1997) | Genres: Drama|8
263,Title: Steel (1997) | Genres: Action|1
264,"Title: Mimic (1997) | Genres: Sci-Fi|15, Thriller|16"
265,"Title: Hunt for Red October, The (1990) | Genres: Action|1, Thriller|16"
266,"Title: Kull the Conqueror (1997) | Genres: Action|1, Adventure|2"
267,Title: unknown | Genres: unknown|0
268,"Title: Chasing Amy (1997) | Genres: Drama|8, Romance|14"
269,"Title: Full Monty, The (1997) | Genres: Comedy|5"
270,"Title: Gattaca (1997) | Genres: Drama|8, Sci-Fi|15, Thriller|16"
271,"Title: Starship Troopers (1997) | Genres: Action|1, Adventure|2, Sci-Fi|15, War|17"
272,Title: Good Will Hunting (1997) | Genres: Drama|8
273,"Title: Heat (1995) | Genres: Action|1, Crime|6, Thriller|16"
274,"Title: Sabrina (1995) | Genres: Comedy|5, Romance|14"
275,"Title: Sense and Sensibility (1995) | Genres: Drama|8, Romance|14"
276,"Title: Leaving Las Vegas (1995) | Genres: Drama|8, Romance|14"
277,Title: Restoration (1995) | Genres: Drama|8
278,"Title: Bed of Roses (1996) | Genres: Drama|8, Romance|14"
279,Title: Once Upon a Time... When We Were Colored (1995) | Genres: Drama|8
280,"Title: Up Close and Personal (1996) | Genres: Drama|8, Romance|14"
281,"Title: River Wild, The (1994) | Genres: Action|1, Thriller|16"
282,"Title: Time to Kill, A (1996) | Genres: Drama|8"
283,"Title: Emma (1996) | Genres: Drama|8, Romance|14"
284,"Title: Tin Cup (1996) | Genres: Comedy|5, Romance|14"
285,Title: Secrets & Lies (1996) | Genres: Drama|8
286,"Title: English Patient, The (1996) | Genres: Drama|8, Romance|14, War|17"
287,Title: Marvin's Room (1996) | Genres: Drama|8
288,"Title: Scream (1996) | Genres: Horror|11, Thriller|16"
289,"Title: Evita (1996) | Genres: Drama|8, Musical|12"
290,Title: Fierce Creatures (1997) | Genres: Comedy|5
291,"Title: Absolute Power (1997) | Genres: Mystery|13, Thriller|16"
292,Title: Rosewood (1997) | Genres: Drama|8
293,"Title: Donnie Brasco (1997) | Genres: Crime|6, Drama|8"
294,Title: Liar Liar (1997) | Genres: Comedy|5
295,"Title: Breakdown (1997) | Genres: Action|1, Thriller|16"
296,"Title: Promesse, La (1996) | Genres: Drama|8"
297,Title: Ulee's Gold (1997) | Genres: Drama|8
298,"Title: Face/Off (1997) | Genres: Action|1, Sci-Fi|15, Thriller|16"
299,"Title: Hoodlum (1997) | Genres: Crime|6, Drama|8, Film-Noir|10"
300,"Title: Air Force One (1997) | Genres: Action|1, Thriller|16"
301,Title: In & Out (1997) | Genres: Comedy|5
302,"Title: L.A. Confidential (1997) | Genres: Crime|6, Film-Noir|10, Mystery|13, Thriller|16"
303,Title: Ulee's Gold (1997) | Genres: Drama|8
304,"Title: Fly Away Home (1996) | Genres: Adventure|2, Children's|4"
305,"Title: Ice Storm, The (1997) | Genres: Drama|8"
306,"Title: Mrs. Brown (Her Majesty, Mrs. Brown) (1997) | Genres: Drama|8, Romance|14"
307,"Title: Devil's Advocate, The (1997) | Genres: Crime|6, Horror|11, Mystery|13, Thriller|16"
308,"Title: FairyTale: A True Story (1997) | Genres: Children's|4, Drama|8, Fantasy|9"
309,Title: Deceiver (1997) | Genres: Crime|6
310,"Title: Rainmaker, The (1997) | Genres: Drama|8"
311,"Title: Wings of the Dove, The (1997) | Genres: Drama|8, Romance|14, Thriller|16"
312,"Title: Midnight in the Garden of Good and Evil (1997) | Genres: Comedy|5, Crime|6, Drama|8, Mystery|13"
313,"Title: Titanic (1997) | Genres: Action|1, Drama|8, Romance|14"
314,"Title: 3 Ninjas: High Noon At Mega Mountain (1998) | Genres: Action|1, Children's|4"
315,"Title: Apt Pupil (1998) | Genres: Drama|8, Thriller|16"
316,"Title: As Good As It Gets (1997) | Genres: Comedy|5, Drama|8"
317,Title: In the Name of the Father (1993) | Genres: Drama|8
318,"Title: Schindler's List (1993) | Genres: Drama|8, War|17"
319,"Title: Everyone Says I Love You (1996) | Genres: Comedy|5, Musical|12, Romance|14"
320,Title: Paradise Lost: The Child Murders at Robin Hood Hills (1996) | Genres: Documentary|7
321,Title: Mother (1996) | Genres: Comedy|5
322,"Title: Murder at 1600 (1997) | Genres: Mystery|13, Thriller|16"
323,"Title: Dante's Peak (1997) | Genres: Action|1, Thriller|16"
324,Title: Lost Highway (1997) | Genres: Mystery|13
325,"Title: Crash (1996) | Genres: Drama|8, Thriller|16"
326,"Title: G.I. Jane (1997) | Genres: Action|1, Drama|8, War|17"
327,"Title: Cop Land (1997) | Genres: Crime|6, Drama|8, Mystery|13"
328,"Title: Conspiracy Theory (1997) | Genres: Action|1, Mystery|13, Romance|14, Thriller|16"
329,"Title: Desperate Measures (1998) | Genres: Crime|6, Drama|8, Thriller|16"
330,Title: 187 (1997) | Genres: Drama|8
331,"Title: Edge, The (1997) | Genres: Adventure|2, Thriller|16"
332,"Title: Kiss the Girls (1997) | Genres: Crime|6, Drama|8, Thriller|16"
333,"Title: Game, The (1997) | Genres: Mystery|13, Thriller|16"
334,"Title: U Turn (1997) | Genres: Action|1, Crime|6, Mystery|13"
335,Title: How to Be a Player (1997) | Genres: Comedy|5
336,"Title: Playing God (1997) | Genres: Crime|6, Thriller|16"
337,"Title: House of Yes, The (1997) | Genres: Comedy|5, Drama|8, Thriller|16"
338,Title: Bean (1997) | Genres: Comedy|5
339,"Title: Mad City (1997) | Genres: Action|1, Drama|8"
340,Title: Boogie Nights (1997) | Genres: Drama|8
341,Title: Critical Care (1997) | Genres: Comedy|5
342,"Title: Man Who Knew Too Little, The (1997) | Genres: Comedy|5, Mystery|13"
343,"Title: Alien: Resurrection (1997) | Genres: Action|1, Horror|11, Sci-Fi|15"
344,"Title: Apostle, The (1997) | Genres: Drama|8"
345,"Title: Deconstructing Harry (1997) | Genres: Comedy|5, Drama|8"
346,"Title: Jackie Brown (1997) | Genres: Crime|6, Drama|8"
347,"Title: Wag the Dog (1997) | Genres: Comedy|5, Drama|8"
348,"Title: Desperate Measures (1998) | Genres: Crime|6, Drama|8, Thriller|16"
349,"Title: Hard Rain (1998) | Genres: Action|1, Thriller|16"
350,"Title: Fallen (1998) | Genres: Action|1, Mystery|13, Thriller|16"
351,"Title: Prophecy II, The (1998) | Genres: Horror|11"
352,"Title: Spice World (1997) | Genres: Comedy|5, Musical|12"
353,"Title: Deep Rising (1998) | Genres: Action|1, Horror|11, Sci-Fi|15"
354,"Title: Wedding Singer, The (1998) | Genres: Comedy|5, Romance|14"
355,"Title: Sphere (1998) | Genres: Adventure|2, Sci-Fi|15, Thriller|16"
356,"Title: Client, The (1994) | Genres: Drama|8, Mystery|13, Thriller|16"
357,Title: One Flew Over the Cuckoo's Nest (1975) | Genres: Drama|8
358,"Title: Spawn (1997) | Genres: Action|1, Adventure|2, Sci-Fi|15, Thriller|16"
359,"Title: Assignment, The (1997) | Genres: Thriller|16"
360,Title: Wonderland (1997) | Genres: Documentary|7
361,"Title: Incognito (1997) | Genres: Crime|6, Thriller|16"
362,"Title: Blues Brothers 2000 (1998) | Genres: Action|1, Comedy|5, Musical|12"
363,Title: Sudden Death (1995) | Genres: Action|1
364,Title: Ace Ventura: When Nature Calls (1995) | Genres: Comedy|5
365,Title: Powder (1995) | Genres: Drama|8
366,Title: Dangerous Minds (1995) | Genres: Drama|8
367,Title: Clueless (1995) | Genres: Comedy|5
368,Title: Bio-Dome (1996) | Genres: Comedy|5
369,Title: Black Sheep (1996) | Genres: Comedy|5
370,"Title: Mary Reilly (1996) | Genres: Drama|8, Thriller|16"
371,"Title: Bridges of Madison County, The (1995) | Genres: Drama|8, Romance|14"
372,Title: Jeffrey (1995) | Genres: Comedy|5
373,"Title: Judge Dredd (1995) | Genres: Action|1, Adventure|2, Sci-Fi|15"
374,"Title: Mighty Morphin Power Rangers: The Movie (1995) | Genres: Action|1, Children's|4"
375,Title: Showgirls (1995) | Genres: Drama|8
376,Title: Houseguest (1994) | Genres: Comedy|5
